卌	シュウ
卍	バン マン
卑	ヒ
卒	ソツ シュツ
卓	タク
協	キョウ
南	ナン ナ
単	タン
卙	ショウ シュウ
博	ハク バク
卛	ソツ リツ シュツ
卜	ボク
卞	ベン ヘン ハン
占	セン
卡	サ カ ソウ
卣	ユウ ユ
卥	セイ
卦	カ カイ ケ
卧	
卩	セツ
卬	キョウ ゴウ
卭	キョウ
卮	シ
卯	ボウ モウ
印	イン
危	キ
卲	ショウ
即	ソク
却	キャク
卵	ラン
卷	カン ケン
卸	シャ
卹	シュツ シュチ ソツ ソチ
卺	キン
卻	キャク
卽	ソク ショク
卾	ガク
卿	ケイ キョウ
厂	カン
厃	セン ギ エン
厄	ヤク
厇	タク チャク
厈	カン
厎	シ テイ キイ チ
厓	ガイ ゲ ギ
厔	シツ シチ
厖	ボウ
厘	リン
厙	シャ
厚	コウ
厝	サク ソ セキ ジャク
原	ゲン
厠	シ ショク
厡	ゲン
厤	レキ リャク
厥	ケツ クツ
厦	カ サ
厨	シュウ ズ チュ チュウ
厩	キュウ
厪	キン ゴン
厫	ゴウ
厭	エン オン アン オウ ユウ ヨウ
厮	シ
厯	レキ
厰	ショウ
厲	レイ ライ レツ レチ
厳	ゲン ゴン
厴	エン
厵	ゲン
厶	シ ボウ ム
厷	コウ
厸	リン
厺	キョ コ
去	キョ コ
厽	ルイ サン
叀	セン
参	サン シン
參	サン シン
叅	サン シン
又	ユウ
叉	サ シャ サイ
及	キュウ
友	ユウ
双	ソウ
反	ハン ホン タン ホ
収	シュウ
叏	カイ ケツ ケチ
叒	ニャク シャク
叓	シ ズ
叔	シュク
叕	テイ テツ テチ ゲツ イ
取	シュ
受	ジュ
叙	ジョ
叚	カ ケ
叛	ハン ホン
叝	コウ
叞	イ
叟	ソウ シュウ
叠	ジョウ チョウ
叡	エイ
叢	ソウ ス
口	コウ ク
古	コ
句	ク
另	レイ リョウ
叧	カ ケ
叨	トウ
叩	コウ
只	シ
叫	キョウ
召	ショウ
叭	ハツ
叮	テイ
可	カ コク
台	ダイ タイ
叱	シツ シチ
史	シ
右	ウ ユウ
叴	
叵	ハ
叶	キョウ
号	ゴウ
司	シ
叺	
吁	ク ウ
吂	ボウ モウ
吃	キツ
各	カク
合	ゴウ ガッ カッ
吉	キチ キツ
吊	チョウ
吋	トウ ドウ スン
同	ドウ
名	メイ ミョウ
后	コウ ゴ
吏	リ
吐	ト
向	コウ
吒	タ
吓	カ
吚	イ キ
君	クン
吝	リン
吞	ドン トン テン
吟	ギン
吠	ハイ ベイ
吡	ヒツ ビチ ヒ
吤	カイ ケ カ
否	ヒ
吧	ハ ヘ
吨	トン
吩	フン
吪	グウ ゲ カ
含	ガン
听	キン
吭	コウ
吮	セン シュン
启	ケイ
吱	シ キ
吴	ゴ
吵	ビョウ ミョウ ソウ ショウ
吶	トツ
吸	キュウ
吹	スイ
吻	フン ブン
吼	コウ ク
吽	コウ ウン イン オン グ
吾	ゴ
呀	ガ カ
呂	ロ リョ
呃	アク アイ
呄	コク
呆	ホウ
呇	ケイ
呈	テイ
呉	ゴ
告	コク
呍	コウ ウン イン オン グ
呎	シャク
呏	ショウ
呑	トン ドン
呕	
呞	シ チ
呟	ゲン
呢	ジ ニ
呤	レイ リョウ
呦	ユ オウ ユウ ヨウ
呧	テイ タイ
周	シュウ
呩	シ
呪	ジュ シュ シュウ ズ
呫	チョウ ショウ テン
呬	キ チ レイ リョウ
呭	エイ セツ セチ
呮	キ
呰	シ サ
呱	コ
味	ミ
呴	ク コウ
呵	カ
呶	ド ドウ
呷	コウ
呻	シン
呼	コ
命	メイ ミョウ
呿	カ キョ コ キョウ コウ
咀	ソ ショ
咁	カン
咃	タ
咄	トツ
咅	トウ
咆	ホウ
咈	フツ ブチ ヒツ ビチ
咉	オウ
咊	ワ
咋	サク サ
和	ワ オ カ
咍	カイ タイ
咎	キュウ コウ
咏	エイ
咐	フ ホ
咑	ダ
咒	ジュ シュ シュウ
咕	コ
咖	カ
咜	タ ト
咟	カク
咠	シュウ ユウ
咡	ジ ニ
咢	ガク
咤	タ ト
咥	テツ キ
咦	イ キ タイ
咧	レツ レチ
咨	シ
咩	ビ ミ
咪	ビ ベイ
咫	シ
咬	コウ ヨウ
咭	キツ ギチ カツ ケチ
咮	トウ ツ チュウ シュウ
咯	カク
咱	サツ サチ サ シャ
咲	ショウ
咳	カイ ガイ
咷	ドウ チュウ テキ ジャク
咸	カン ゲン
咹	アツ アチ アン
咺	ケン クン
咻	ク キョウ コウ
咼	カイ ケ クウ カ
咽	イン エン エツ
咾	ロウ
咿	イ
哀	アイ
品	ヒン ホン
哂	シン
哃	トウ ズ
哄	コウ
哆	シ タ シャ
哇	ア アイ エ ワ
哈	ゴウ ハ ソウ
哉	サイ
哊	イク
响	キョウ
哎	ガイ
哘	
哠	コウ
員	イン
哢	ロウ
哥	カ コ
哦	ガ
哨	ショウ
哩	リ
哪	ダ ナ
哬	カ
哭	コク
哮	コウ
哯	ケン
哱	ホツ ホチ ハイ ヘ
哲	テツ
哳	タツ テチ
哶	バ メ マ ビ ミ
哺	ホ
哼	コウ キョウ
哽	コウ
哾	セツ ヤツ ヤチ
哿	カ
唀	ユウ シュウ
唁	ゲン ゴン
唄	バイ
唅	カン コン
唆	サ
唇	シン
唈	オウ ユウ
唉	カイ キ アイ イ
唌	セン タン エン
唍	カン ゲン
唎	リ
唏	キ
唐	トウ
唔	ゴ
唕	ソウ
唖	ア アク
唪	ホウ ホ ブ
唫	ゴン キン
售	シュウ
唯	ユイ イ
唱	ショウ
唲	ジ ニ アイ
唳	レイ
唵	アン オン
唶	シャ セキ シャク サク
唸	テン
唹	オ
唻	ライ
唼	ショウ ソウ
唽	セキ シャク
唾	ダ タ
啀	ガイ
啁	トウ チョウ チュウ シュウ
啄	タク ツク トク
啅	タク トウ
商	ショウ
啇	テキ チャク セキ
啉	ラン
啊	ア
啌	クウ コウ
啍	トン シュン タイ テ キョウ コウ
問	モン
啐	サイ セ サ シュツ シュチ カツ カチ
啑	ソウ ショウ
啓	ケイ
啖	タン
啗	タン
啘	エン セツ エツ
啚	ヒ ト
啛	サイ セ
啜	セツ テツ
啝	ワ
啞	ア
啠	テツ
啡	ハイ ヘ ヒ
啣	カン
啤	ヒ
啦	ロウ
啻	シ
啼	テイ
啽	ガン ゴン
啾	シュウ
啿	タン ドン
喀	カク
喁	グ ゴウ キョウ
喂	イ キ カイ
喃	ナン
善	ゼン
喆	テツ
喇	ラツ ラ
喈	カイ
喉	コウ
喊	カン ヤク
喋	チョウ トウ
喎	カイ ケ クウ カ
喏	シャ ニャ ジャク ニャク ダク
喑	イン オン アン
喒	サン
喓	ヨウ
喔	アク ラク オク
喗	ギン ゴン グン
喘	ゼン セン
喙	カイ
喚	カン
喜	キ
喝	カツ
喞	ショク ソク
喟	キ カイ
喣	ク
喤	コウ オウ キョウ
喧	ケン
喨	リョウ ロウ
喩	ユ
喪	ソウ
喫	キツ
喬	キョウ
喭	ゲン ガン
單	タン
喰	
喲	ヤク
営	エイ
喿	ソウ ショウ
嗁	テイ ダイ
嗃	コウ キョウ
嗄	サ
嗅	キュウ
